timestamp,player_win,duration_sec,player_hp,enemy_hp,player_shots,player_hits,enemy_shots,enemy_hits,feint_attempts,feint_hidden_count,feint_hidden_avg,plain_hidden_count,plain_hidden_avg,tactic_search,tactic_approach,tactic_assault,tactic_ambush,tactic_attack,tactic_feint,tactic_retreat,ai_type,opponent
2026-07-26 16:55:35,0,19.0,0,3,7,0,7,3,1,1,2.16,9,0.73,2.9,0.0,0.3,3.1,2.8,1.3,8.6,pro_optimized_v1,bot_standard
2026-07-26 16:55:40,0,36.0,0,1,21,2,11,3,4,2,0.36,11,0.84,12.4,0.0,1.6,7.5,4.2,5.2,4.2,pro_optimized_v2,bot_standard
2026-07-26 16:55:44,0,19.7,0,1,10,2,6,3,2,2,1.36,4,0.92,7.3,0.0,0.0,2.9,3.1,2.9,2.6,chaos,bot_standard
2026-07-26 16:55:46,0,10.6,0,3,2,0,4,3,0,0,0.00,0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,base,bot_standard
2026-07-26 16:56:01,1,16.6,2,0,11,3,15,1,0,0,0.00,0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,base,bot_standard
2026-07-26 16:56:04,0,18.5,0,1,10,2,7,3,0,0,0.00,4,1.99,2.9,1.6,0.0,3.9,3.7,0.0,5.5,chaos,bot_standard
2026-07-26 16:56:09,0,29.1,0,2,17,1,15,3,3,3,1.48,6,0.87,9.9,0.0,0.0,5.7,6.0,3.9,3.1,pro_optimized_v3,bot_standard
2026-07-26 16:56:13,0,21.9,0,1,3,2,8,3,0,0,0.00,6,1.32,5.2,0.0,0.0,2.9,4.3,0.0,8.6,chaos,bot_standard
2026-07-26 16:56:15,0,14.3,0,2,5,1,5,3,2,2,1.43,4,0.72,4.9,0.0,0.0,1.8,1.3,2.6,3.1,pro_optimized_v3,bot_standard
2026-07-26 16:56:19,0,17.3,0,1,7,2,4,3,1,0,0.00,3,2.23,7.0,0.0,0.0,3.6,1.7,1.3,2.6,pro_optimized_v3,bot_standard
2026-07-26 16:56:22,1,16.3,1,0,4,3,9,2,0,0,0.00,0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,base,bot_standard
2026-07-26 16:56:24,0,10.1,0,3,5,0,4,3,0,0,0.00,2,1.67,2.6,2.1,0.0,0.3,2.0,0.0,3.1,pro_optimized_v1_origin,bot_standard
2026-07-26 16:56:28,0,21.0,0,1,10,2,8,3,3,1,1.34,5,0.86,7.5,0.0,0.0,2.9,2.6,3.9,3.1,pro_optimized_v3,bot_standard
2026-07-26 16:56:30,1,11.6,1,0,5,3,4,2,0,0,0.00,0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,base,bot_standard
2026-07-26 16:56:35,0,11.4,0,2,6,1,3,3,1,0,0.00,2,1.46,4.2,0.0,0.0,1.0,1.3,1.3,3.1,pro_optimized_v3,bot_standard
2026-07-26 16:56:38,0,13.7,0,2,6,1,5,3,1,2,0.87,4,0.70,4.9,0.5,0.0,1.6,2.0,1.6,3.1,pro_optimized_v1,bot_standard
2026-07-26 16:56:41,0,15.6,0,1,3,2,7,3,0,0,0.00,4,1.03,4.9,0.0,0.0,2.1,3.2,0.0,4.7,pro_optimized_v1_origin,bot_standard
2026-07-26 16:56:44,0,14.3,0,1,8,2,3,3,0,0,0.00,6,1.15,2.6,0.0,0.0,6.5,1.0,0.0,3.1,pro_learned_v4,bot_standard
2026-07-26 16:56:48,0,23.1,0,1,13,2,9,3,2,2,1.82,6,0.66,4.4,0.3,0.0,2.3,5.2,2.6,7.3,pro_optimized_v1,bot_standard
2026-07-26 16:56:51,0,19.4,0,2,7,1,7,3,2,1,1.64,5,0.96,7.8,0.0,0.0,3.4,2.3,2.6,2.9,pro_optimized_v3,bot_standard
2026-07-26 16:56:55,1,22.1,1,0,13,3,6,2,2,3,1.74,4,0.84,7.6,0.0,0.5,5.7,1.6,2.6,3.1,pro_optimized_v2,bot_standard
2026-07-26 16:56:58,0,14.6,0,3,5,0,3,3,0,0,0.00,4,1.44,4.4,0.3,0.8,3.1,1.1,0.0,4.9,pro,bot_standard
2026-07-26 16:57:01,0,15.7,0,2,6,1,6,3,2,3,1.05,3,1.45,5.3,0.3,0.0,1.8,2.1,2.6,3.1,pro_optimized_v3,bot_standard
2026-07-26 16:57:04,0,11.2,0,3,1,0,5,3,0,0,0.00,0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,base,bot_standard
2026-07-26 16:57:07,0,17.7,0,2,9,1,11,3,0,0,0.00,0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,base,bot_standard
2026-07-26 16:57:09,0,10.8,0,2,4,1,4,3,0,0,0.00,0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,base,bot_standard
2026-07-26 16:57:14,0,30.4,0,3,13,0,12,3,0,0,0.00,15,0.88,1.8,0.0,0.0,6.2,6.0,0.0,16.4,pro_optimized_v1_origin,bot_standard
2026-07-26 16:57:20,0,36.1,0,1,19,2,11,3,4,2,4.66,0,0.00,16.2,0.0,0.0,3.4,4.9,5.2,5.5,chaos,bot_standard
2026-07-26 16:57:22,0,9.6,0,1,6,2,3,3,0,0,0.00,5,0.48,1.3,2.6,0.0,1.6,0.6,0.0,2.9,pro_optimized_v1_origin,bot_standard
